Mx,My,Mz,Vx,Vy,Vz
22.439,6.8892,86.795,0.89612,-0.046486,0.4344
23.376,7.0013,87.116,0.91959,0.032847,0.3785
24.311,7.4454,87.395,0.89814,0.22369,0.32041
25.179,7.8786,87.66,0.89013,0.32954,0.29511
26.005,8.4254,87.874,0.85514,0.43561,0.25439
26.728,9.067,88.136,0.79162,0.53972,0.25881
27.337,9.7504,88.463,0.71211,0.62351,0.29842
27.685,10.478,88.897,0.54866,0.71129,0.38744
27.615,11.212,89.5,0.24379,0.74876,0.51466
27.038,11.876,90.208,-0.12607,0.692,0.58691
